short_name,age,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,value_eur,predicted_value,value_gap
Jorge Fellipe,31,195,88,33.0,28.0,43.0,44.0,69.0,77.0,775000,773250.0,-1750.0
J. Iritier,25,169,70,68.0,57.0,60.0,69.0,30.0,49.0,675000,673250.0,-1750.0
C. Vestergaard,19,192,76,56.0,22.0,32.0,38.0,52.0,60.0,100000,98250.0,-1750.0
I. May,22,183,79,62.0,49.0,54.0,60.0,60.0,68.0,475000,473250.0,-1750.0
E. Arslan,18,183,70,53.0,55.0,45.0,56.0,23.0,49.0,170000,168225.0,-1775.0
A. Gamboa,21,191,85,47.0,27.0,46.0,48.0,59.0,71.0,350000,348200.0,-1800.0
J. Tolinsson,17,190,83,59.0,27.0,40.0,45.0,52.0,59.0,110000,108200.0,-1800.0
J. Weir,18,178,70,65.0,49.0,56.0,56.0,46.0,50.0,180000,178200.0,-1800.0
K. Ward,20,182,71,67.0,49.0,55.0,55.0,42.0,56.0,150000,148175.0,-1825.0
Y. Pambou,24,171,68,67.0,48.0,62.0,67.0,59.0,61.0,625000,623175.0,-1825.0
T. Sasaki,22,166,59,78.0,51.0,55.0,61.0,31.0,46.0,300000,298150.0,-1850.0
E. Saba,19,180,72,65.0,58.0,46.0,59.0,35.0,58.0,250000,248150.0,-1850.0
A. Valencia,16,175,61,57.0,40.0,46.0,53.0,44.0,48.0,70000,68150.0,-1850.0
C. Atanase,19,179,70,70.0,48.0,50.0,58.0,29.0,55.0,170000,168150.0,-1850.0
M. Komar,22,182,70,55.0,31.0,42.0,41.0,60.0,59.0,220000,218125.0,-1875.0
D. Grant,20,178,70,80.0,54.0,48.0,64.0,35.0,48.0,325000,323125.0,-1875.0
E. Marković,21,180,76,74.0,55.0,56.0,65.0,30.0,58.0,450000,448125.0,-1875.0
M. Pearson,26,190,78,60.0,48.0,51.0,54.0,68.0,73.0,1000000,998125.0,-1875.0
P. Gál-Andrezly,30,172,71,73.0,60.0,64.0,69.0,46.0,50.0,600000,598125.0,-1875.0
A. Gomez Mancini,19,176,64,52.0,51.0,58.0,57.0,48.0,44.0,220000,218075.0,-1925.0
L. Brooks,19,176,65,71.0,42.0,45.0,58.0,27.0,42.0,130000,128050.0,-1950.0
L. Florică,17,181,65,63.0,25.0,41.0,49.0,43.0,40.0,70000,68050.0,-1950.0
D. Maroh,33,186,80,32.0,37.0,43.0,46.0,64.0,71.0,210000,208025.0,-1975.0
H. Al Geed,22,165,60,76.0,48.0,47.0,64.0,24.0,37.0,230000,228025.0,-1975.0
J. Baxter,19,178,72,63.0,38.0,49.0,48.0,43.0,57.0,60000,58025.0,-1975.0
E. Bičakčić,30,185,85,62.0,37.0,49.0,46.0,77.0,79.0,6000000,5998000.0,-2000.0
C. Sertel,20,189,83,66.0,31.0,47.0,57.0,63.0,65.0,650000,648000.0,-2000.0
K. Yengi,21,176,70,80.0,50.0,46.0,59.0,22.0,46.0,160000,158000.0,-2000.0
M. Kelly,30,191,77,50.0,44.0,59.0,61.0,77.0,70.0,5500000,5498000.0,-2000.0
D. Popa,24,186,83,57.0,59.0,40.0,61.0,25.0,81.0,400000,397975.0,-2025.0
J. Martin,18,177,70,73.0,54.0,55.0,59.0,28.0,45.0,250000,247975.0,-2025.0
P. Herrmann,32,180,80,73.0,23.0,52.0,55.0,66.0,72.0,550000,547950.0,-2050.0
M. Silvestre,35,185,84,44.0,42.0,54.0,55.0,69.0,67.0,325000,322950.0,-2050.0
R. Clampin,21,180,70,80.0,41.0,48.0,57.0,55.0,61.0,325000,322925.0,-2075.0
R. Voloder,19,185,80,66.0,27.0,31.0,36.0,57.0,60.0,180000,177925.0,-2075.0
A. Ajeti,23,186,82,41.0,27.0,26.0,30.0,53.0,62.0,90000,87925.0,-2075.0
N. Dávila,24,176,70,64.0,48.0,53.0,56.0,46.0,55.0,120000,117900.0,-2100.0
G. Bajrami,20,182,78,61.0,48.0,30.0,33.0,59.0,57.0,190000,187900.0,-2100.0
S. Surridge,21,191,77,61.0,65.0,43.0,64.0,28.0,71.0,1000000,997875.0,-2125.0
P. Hoban,28,180,84,65.0,67.0,56.0,61.0,39.0,75.0,800000,797875.0,-2125.0
A. Niewulis,31,187,77,58.0,39.0,52.0,52.0,60.0,74.0,230000,227875.0,-2125.0
D. Fernández,19,180,74,70.0,30.0,44.0,53.0,62.0,71.0,600000,597850.0,-2150.0
Arnedo,24,178,69,61.0,49.0,60.0,58.0,61.0,63.0,500000,497850.0,-2150.0
A. López,25,172,70,57.0,49.0,54.0,55.0,53.0,52.0,130000,127850.0,-2150.0
A. Becker,23,196,91,53.0,61.0,39.0,58.0,27.0,74.0,425000,422825.0,-2175.0
M. Holzer,21,186,77,64.0,58.0,45.0,59.0,32.0,62.0,250000,247800.0,-2200.0
Novoa,17,176,65,54.0,63.0,45.0,62.0,22.0,45.0,425000,422775.0,-2225.0
M. Blair,31,178,74,82.0,56.0,57.0,63.0,56.0,65.0,325000,322775.0,-2225.0
Carlos David,34,184,80,59.0,40.0,47.0,48.0,64.0,75.0,200000,197775.0,-2225.0
M. Doué,19,180,75,60.0,29.0,32.0,37.0,59.0,63.0,210000,207750.0,-2250.0
R. Schallenberg,21,185,76,65.0,49.0,57.0,62.0,61.0,66.0,525000,522750.0,-2250.0
Park Dae Han,29,173,70,76.0,28.0,55.0,65.0,61.0,63.0,525000,522750.0,-2250.0
S. Al Khayri,25,173,75,76.0,29.0,45.0,54.0,55.0,68.0,240000,237725.0,-2275.0
C. Davis,22,165,68,64.0,53.0,44.0,56.0,27.0,61.0,140000,137700.0,-2300.0
H. Zuck,29,176,69,71.0,49.0,63.0,68.0,31.0,49.0,525000,522675.0,-2325.0
M. Šverko,22,187,81,65.0,29.0,51.0,57.0,57.0,65.0,300000,297675.0,-2325.0
C. Neumann,34,186,82,67.0,67.0,62.0,65.0,36.0,65.0,400000,397675.0,-2325.0
I. Albaraka,23,185,68,59.0,35.0,54.0,51.0,49.0,51.0,100000,97675.0,-2325.0
S. Alexandropoulos,18,183,71,66.0,49.0,52.0,56.0,52.0,60.0,200000,197675.0,-2325.0
V. van den Bogert,20,185,78,49.0,28.0,41.0,39.0,59.0,66.0,325000,322675.0,-2325.0
H. Çiftçi,22,177,73,67.0,50.0,61.0,66.0,51.0,60.0,475000,472650.0,-2350.0
D. Milinković,26,178,70,75.0,56.0,62.0,68.0,25.0,54.0,750000,747625.0,-2375.0
G. Aburjania,25,186,75,56.0,60.0,68.0,67.0,63.0,67.0,950000,947625.0,-2375.0
Y. Gómez,22,176,67,84.0,28.0,44.0,60.0,56.0,59.0,425000,422625.0,-2375.0
J. Eccles,20,185,66,72.0,41.0,53.0,59.0,55.0,61.0,275000,272625.0,-2375.0
Guillem Jaime,21,177,70,68.0,56.0,60.0,69.0,58.0,56.0,800000,797625.0,-2375.0
R. Healey,25,180,72,76.0,64.0,49.0,65.0,29.0,56.0,600000,597625.0,-2375.0
D. Ward,22,179,65,66.0,50.0,47.0,54.0,36.0,44.0,90000,87575.0,-2425.0
R. Ferreira,22,173,63,83.0,32.0,47.0,61.0,56.0,64.0,450000,447575.0,-2425.0
N. Al Dajani,23,171,67,73.0,45.0,53.0,55.0,36.0,47.0,120000,117575.0,-2425.0
K. Munro,18,178,70,66.0,37.0,47.0,50.0,43.0,47.0,70000,67550.0,-2450.0
J. Sternberg,27,182,77,71.0,48.0,59.0,61.0,59.0,70.0,450000,447550.0,-2450.0
M. Sangare,21,191,83,63.0,46.0,51.0,58.0,50.0,71.0,200000,197525.0,-2475.0
E. Cano,21,170,60,72.0,44.0,56.0,61.0,38.0,78.0,350000,347525.0,-2475.0
G. Vetti,21,180,74,61.0,47.0,56.0,60.0,50.0,61.0,250000,247525.0,-2475.0
M. Heylen,26,187,82,49.0,37.0,55.0,46.0,66.0,72.0,700000,697500.0,-2500.0
D. Klinkenberg,24,186,80,58.0,26.0,43.0,45.0,60.0,69.0,325000,322500.0,-2500.0
H. Zeta,26,178,74,71.0,59.0,51.0,66.0,20.0,57.0,475000,472500.0,-2500.0
A. Izzo,28,183,78,65.0,33.0,48.0,64.0,82.0,74.0,12500000,12497500.0,-2500.0
A. Gutiérrez,20,173,74,59.0,47.0,62.0,59.0,53.0,59.0,350000,347475.0,-2525.0
M. Maigaard,24,180,70,70.0,58.0,65.0,63.0,54.0,67.0,600000,597450.0,-2550.0
J. Berry,19,183,71,64.0,40.0,51.0,59.0,43.0,52.0,140000,137450.0,-2550.0
T. Burey,19,187,74,68.0,50.0,48.0,57.0,37.0,58.0,150000,147400.0,-2600.0
I. Bakare,18,180,70,62.0,23.0,29.0,35.0,50.0,60.0,70000,67400.0,-2600.0
M. Lewandowski,21,187,83,67.0,54.0,42.0,51.0,20.0,62.0,140000,137400.0,-2600.0
C. Gustafsson,20,182,77,61.0,46.0,56.0,57.0,36.0,57.0,170000,167375.0,-2625.0
Z. Kožulj,26,180,78,70.0,71.0,69.0,70.0,57.0,65.0,2100000,2097375.0,-2625.0
J. Ruiz,22,188,82,68.0,42.0,58.0,60.0,66.0,71.0,1100000,1097375.0,-2625.0
Xie Pengfei,27,179,74,78.0,63.0,59.0,66.0,46.0,64.0,675000,672375.0,-2625.0
A. Johansson,24,189,80,66.0,54.0,52.0,59.0,30.0,60.0,210000,207375.0,-2625.0
Jeong Han Min,19,183,78,53.0,49.0,40.0,47.0,27.0,53.0,60000,57375.0,-2625.0
J. Scott,18,182,77,73.0,51.0,42.0,55.0,27.0,59.0,140000,137350.0,-2650.0
G. Davis,19,175,68,65.0,44.0,53.0,56.0,36.0,47.0,110000,107350.0,-2650.0
R. Burrell,19,185,72,75.0,54.0,37.0,55.0,16.0,48.0,150000,147325.0,-2675.0
O. Nowak,19,176,69,58.0,24.0,39.0,49.0,55.0,58.0,160000,157300.0,-2700.0
H. Koide,19,180,69,80.0,48.0,46.0,60.0,28.0,44.0,170000,167300.0,-2700.0
Y. Rodríguez,20,183,73,61.0,60.0,38.0,47.0,20.0,53.0,200000,197300.0,-2700.0
N. Al Subhi,30,180,74,57.0,46.0,45.0,48.0,61.0,74.0,250000,247275.0,-2725.0
E. Caicedo,25,186,79,38.0,38.0,34.0,41.0,64.0,72.0,475000,472275.0,-2725.0
C. Carrillo,27,179,65,62.0,63.0,61.0,62.0,63.0,68.0,650000,647250.0,-2750.0
M. Goodridge,20,178,70,60.0,53.0,58.0,62.0,50.0,53.0,300000,297250.0,-2750.0
M. Nalepa,27,189,80,46.0,44.0,49.0,54.0,67.0,82.0,1100000,1097250.0,-2750.0
Gaspar Campos,20,175,73,77.0,60.0,59.0,66.0,31.0,63.0,800000,797250.0,-2750.0
B. Hart,19,180,71,68.0,34.0,43.0,49.0,53.0,64.0,160000,157250.0,-2750.0
D. Björnquist,31,178,77,84.0,39.0,50.0,59.0,58.0,68.0,325000,322250.0,-2750.0
I. Takidine,19,171,61,75.0,49.0,54.0,71.0,23.0,38.0,550000,547225.0,-2775.0
G. Lapslie,22,173,66,65.0,43.0,55.0,62.0,55.0,40.0,240000,237175.0,-2825.0
P. Mystkowski,22,174,62,73.0,57.0,56.0,63.0,29.0,56.0,450000,447175.0,-2825.0
A. Baptiste,34,180,74,52.0,38.0,51.0,54.0,63.0,61.0,140000,137150.0,-2850.0
I. Amundsen,20,185,75,60.0,29.0,40.0,36.0,53.0,60.0,120000,117150.0,-2850.0
M. Jacob,19,188,79,62.0,25.0,37.0,50.0,51.0,57.0,120000,117150.0,-2850.0
T. Hopper,26,186,76,63.0,62.0,52.0,61.0,34.0,73.0,475000,472150.0,-2850.0
Zeng Chao,27,170,65,67.0,46.0,53.0,56.0,52.0,56.0,130000,127150.0,-2850.0
M. Gottschling,26,183,72,79.0,57.0,58.0,66.0,58.0,69.0,700000,697125.0,-2875.0
U. Kargbo,18,186,73,58.0,32.0,39.0,45.0,45.0,49.0,60000,57125.0,-2875.0
K. Joseph,18,183,75,61.0,54.0,43.0,47.0,19.0,52.0,100000,97125.0,-2875.0
J. Ceesay,22,178,69,77.0,50.0,51.0,63.0,49.0,55.0,325000,322100.0,-2900.0
N. Jeck,18,193,81,60.0,24.0,31.0,39.0,52.0,63.0,100000,97100.0,-2900.0
O. Ursu,25,176,70,65.0,59.0,57.0,63.0,27.0,45.0,375000,372100.0,-2900.0
M. Najjar,20,182,72,67.0,51.0,39.0,53.0,21.0,52.0,100000,97075.0,-2925.0
R. Okui,30,169,66,65.0,37.0,54.0,58.0,62.0,62.0,425000,422050.0,-2950.0
V. Lamprecht,19,177,71,64.0,36.0,51.0,54.0,52.0,59.0,160000,157050.0,-2950.0
E. Karakuş,19,184,73,56.0,59.0,40.0,56.0,32.0,57.0,275000,272050.0,-2950.0
B. Omeragic,18,187,74,71.0,35.0,48.0,52.0,60.0,63.0,400000,397050.0,-2950.0
D. Þór­halls­son,20,176,73,63.0,40.0,50.0,55.0,42.0,56.0,110000,107025.0,-2975.0
K. Tokura,34,187,80,55.0,65.0,47.0,62.0,25.0,74.0,350000,347000.0,-3000.0
S. Ay,28,184,80,65.0,42.0,49.0,48.0,66.0,75.0,775000,772000.0,-3000.0
S. Bornauw,21,191,83,73.0,41.0,61.0,65.0,75.0,76.0,9000000,8997000.0,-3000.0
B. Mruk,18,184,75,64.0,27.0,30.0,33.0,57.0,60.0,170000,167000.0,-3000.0
J. Adebayo-Smith,19,181,74,80.0,55.0,46.0,57.0,24.0,53.0,200000,196975.0,-3025.0
C. Schorch,31,191,86,50.0,34.0,52.0,53.0,63.0,73.0,325000,321975.0,-3025.0
L. Miguel,19,180,75,58.0,27.0,32.0,37.0,58.0,56.0,180000,176975.0,-3025.0
J. Scholz,21,189,85,61.0,29.0,44.0,39.0,53.0,63.0,130000,126950.0,-3050.0
T. Makino,33,182,77,66.0,44.0,60.0,62.0,64.0,76.0,350000,346950.0,-3050.0
R. Fallowfield,24,174,65,72.0,46.0,53.0,58.0,53.0,64.0,180000,176950.0,-3050.0
M. Al Thani,23,174,64,71.0,47.0,49.0,56.0,23.0,44.0,120000,116950.0,-3050.0
D. Haimerl,17,187,74,60.0,25.0,35.0,44.0,54.0,64.0,140000,136950.0,-3050.0
A. De John,29,183,80,47.0,27.0,35.0,34.0,57.0,67.0,120000,116950.0,-3050.0
R. Ivan,20,180,75,66.0,27.0,38.0,49.0,51.0,57.0,140000,136900.0,-3100.0
Igor,22,185,84,68.0,31.0,48.0,48.0,64.0,71.0,700000,696875.0,-3125.0
H. Gjesdal,26,192,87,39.0,28.0,42.0,49.0,60.0,65.0,275000,271875.0,-3125.0
Breno,20,179,67,70.0,32.0,47.0,60.0,60.0,59.0,525000,521875.0,-3125.0
Luis Felipe,24,185,80,59.0,43.0,55.0,56.0,62.0,68.0,500000,496875.0,-3125.0
T. Schättin,23,185,80,68.0,29.0,42.0,51.0,55.0,66.0,180000,176875.0,-3125.0
P. Kurzweg,26,180,80,83.0,47.0,63.0,64.0,57.0,71.0,675000,671875.0,-3125.0
J. Mensah,29,188,83,64.0,46.0,55.0,52.0,71.0,76.0,2000000,1996875.0,-3125.0
M. Shinada,20,180,66,63.0,40.0,57.0,61.0,50.0,60.0,275000,271875.0,-3125.0
Z. Al Sahafi,26,184,73,44.0,59.0,54.0,55.0,63.0,78.0,625000,621875.0,-3125.0
V. Ulloa,28,180,75,47.0,58.0,63.0,66.0,66.0,72.0,1000000,996875.0,-3125.0
L. Duzel,18,182,72,68.0,39.0,49.0,53.0,42.0,46.0,80000,76875.0,-3125.0
H. Kessler,22,193,84,57.0,27.0,35.0,43.0,59.0,65.0,230000,226850.0,-3150.0
N. Jenssen,18,183,75,58.0,25.0,32.0,37.0,53.0,60.0,110000,106850.0,-3150.0
R. Herrera,31,187,83,43.0,38.0,49.0,50.0,66.0,66.0,475000,471850.0,-3150.0
K. Choi,25,176,71,74.0,58.0,54.0,70.0,29.0,49.0,575000,571850.0,-3150.0
A. Peralta,20,177,70,64.0,47.0,49.0,53.0,41.0,55.0,90000,86850.0,-3150.0
C. Kinsombi,20,177,70,82.0,42.0,58.0,65.0,30.0,58.0,625000,621850.0,-3150.0
J. Hutchinson,18,185,74,67.0,55.0,43.0,54.0,19.0,61.0,170000,166825.0,-3175.0
B. Gartland,33,188,85,31.0,29.0,43.0,33.0,61.0,72.0,140000,136825.0,-3175.0
D. Cirkin,18,182,72,63.0,39.0,44.0,60.0,61.0,56.0,525000,521825.0,-3175.0
Y. Amankwah,31,194,92,39.0,34.0,37.0,39.0,64.0,80.0,400000,396775.0,-3225.0
J. Piggott,21,180,70,57.0,54.0,40.0,52.0,18.0,49.0,110000,106775.0,-3225.0
N. Topor-Stanley,35,191,90,46.0,40.0,53.0,45.0,60.0,84.0,140000,136775.0,-3225.0
Laure,35,171,68,71.0,46.0,64.0,68.0,66.0,67.0,675000,671775.0,-3225.0
V. Pizarro,17,172,67,60.0,39.0,52.0,51.0,53.0,61.0,170000,166750.0,-3250.0
D. Bureković,25,180,75,73.0,60.0,66.0,66.0,63.0,70.0,1000000,996750.0,-3250.0
W. Togui,23,181,81,75.0,68.0,54.0,63.0,21.0,70.0,1000000,996750.0,-3250.0
Y. Ibrahimaj,24,178,70,79.0,59.0,66.0,68.0,54.0,69.0,1000000,996750.0,-3250.0
T. James,24,180,75,72.0,55.0,58.0,62.0,61.0,70.0,650000,646750.0,-3250.0
H. Sarpei,21,178,72,66.0,38.0,55.0,63.0,63.0,67.0,775000,771750.0,-3250.0
M. Fernández,31,169,67,82.0,68.0,64.0,73.0,32.0,58.0,2100000,2096750.0,-3250.0
J. Boyamba,23,172,68,81.0,57.0,55.0,65.0,29.0,53.0,500000,496725.0,-3275.0
T. Hallstensen,18,189,78,53.0,27.0,29.0,33.0,51.0,61.0,80000,76725.0,-3275.0
R. Fernández,19,188,82,50.0,40.0,50.0,56.0,60.0,63.0,425000,421725.0,-3275.0
N. Mușat,33,176,73,62.0,41.0,61.0,47.0,59.0,65.0,140000,136725.0,-3275.0
Jeong Seong Min,31,184,85,62.0,54.0,58.0,54.0,29.0,59.0,140000,136725.0,-3275.0
J. Valencia,23,172,75,68.0,49.0,59.0,65.0,58.0,61.0,525000,521700.0,-3300.0
J. Birkfeldt,24,183,75,63.0,28.0,41.0,44.0,60.0,66.0,300000,296700.0,-3300.0
M. Fofana,19,185,65,75.0,53.0,40.0,56.0,16.0,55.0,170000,166675.0,-3325.0
J. Lukembila,20,181,80,77.0,51.0,49.0,57.0,23.0,56.0,180000,176675.0,-3325.0
E. Cangá,26,182,87,82.0,59.0,56.0,60.0,27.0,61.0,375000,371650.0,-3350.0
T. Leak,19,188,80,62.0,26.0,33.0,41.0,51.0,62.0,100000,96650.0,-3350.0
R. Vincelot,34,177,71,46.0,44.0,57.0,55.0,60.0,72.0,120000,116650.0,-3350.0
C. Pando,18,176,62,68.0,58.0,51.0,58.0,23.0,51.0,250000,246625.0,-3375.0
H. Mendes,22,184,73,76.0,42.0,60.0,62.0,64.0,66.0,1100000,1096625.0,-3375.0
A. Gryszkiewicz,20,185,81,71.0,33.0,53.0,56.0,58.0,69.0,425000,421625.0,-3375.0
A. Yousfi,17,179,71,61.0,47.0,63.0,59.0,43.0,48.0,250000,246600.0,-3400.0
Ryu Jae Moon,26,184,72,64.0,44.0,59.0,55.0,49.0,60.0,190000,186600.0,-3400.0
L. Scepanik,26,176,70,71.0,59.0,60.0,64.0,47.0,60.0,425000,421600.0,-3400.0
L. Neilson,17,184,73,67.0,27.0,40.0,45.0,56.0,65.0,190000,186600.0,-3400.0
Bruno Morais,22,189,83,51.0,38.0,36.0,46.0,61.0,71.0,375000,371575.0,-3425.0
N. Adams,33,178,70,68.0,57.0,66.0,64.0,56.0,67.0,350000,346575.0,-3425.0
A. Aksungur,19,175,72,52.0,33.0,47.0,48.0,46.0,52.0,60000,56575.0,-3425.0
M. Abubakari,34,178,75,54.0,50.0,61.0,65.0,61.0,66.0,250000,246575.0,-3425.0
L. Guldan,37,183,82,31.0,31.0,58.0,52.0,67.0,75.0,180000,176575.0,-3425.0
K. Paredes,17,168,55,68.0,48.0,47.0,54.0,46.0,37.0,110000,106550.0,-3450.0
J. Briones,18,167,65,63.0,35.0,50.0,50.0,50.0,53.0,130000,126550.0,-3450.0
K. Yuruki,24,183,70,86.0,47.0,58.0,65.0,34.0,61.0,675000,671525.0,-3475.0
J. Dunne,18,185,76,55.0,26.0,36.0,41.0,49.0,61.0,70000,66525.0,-3475.0
A. Mühling,27,186,84,70.0,65.0,72.0,73.0,57.0,72.0,3200000,3196500.0,-3500.0
M. Abu,28,170,68,69.0,54.0,62.0,66.0,61.0,67.0,650000,646500.0,-3500.0
A. Al Joui,25,171,67,77.0,51.0,57.0,62.0,24.0,43.0,325000,321500.0,-3500.0
R. Michibuchi,26,177,74,67.0,65.0,61.0,68.0,45.0,76.0,900000,896500.0,-3500.0
M. Cavar,21,193,82,61.0,41.0,51.0,49.0,57.0,65.0,220000,216500.0,-3500.0
S. Ascacíbar,23,168,70,62.0,46.0,61.0,68.0,77.0,75.0,9500000,9496500.0,-3500.0
J. Hancott,19,178,70,63.0,26.0,36.0,47.0,50.0,50.0,100000,96475.0,-3525.0
K. Al Khathlan,24,178,68,74.0,28.0,52.0,56.0,57.0,58.0,350000,346475.0,-3525.0
S. Nishikawa,19,174,70,62.0,24.0,35.0,49.0,49.0,48.0,90000,86475.0,-3525.0
D. Frelek,18,183,74,63.0,35.0,47.0,51.0,54.0,63.0,180000,176475.0,-3525.0
F. Ambríz,17,181,65,62.0,46.0,54.0,56.0,52.0,49.0,160000,156450.0,-3550.0
J. Trew,20,188,78,51.0,52.0,34.0,46.0,21.0,59.0,70000,66450.0,-3550.0
Sun Kai,29,178,72,64.0,25.0,45.0,46.0,47.0,65.0,60000,56450.0,-3550.0
H. Hatipoğlu,30,185,78,55.0,19.0,33.0,34.0,59.0,64.0,170000,166450.0,-3550.0
I. Sekigawa,19,182,72,55.0,31.0,45.0,44.0,61.0,65.0,400000,396425.0,-3575.0
L. Hagiu,17,179,65,62.0,26.0,31.0,34.0,52.0,49.0,80000,76425.0,-3575.0
D. Kother,20,180,67,76.0,57.0,43.0,68.0,21.0,44.0,450000,446425.0,-3575.0
O. Zanzala,23,185,72,67.0,59.0,45.0,58.0,29.0,66.0,350000,346425.0,-3575.0
T. Cordner,21,189,75,55.0,30.0,36.0,39.0,58.0,68.0,210000,206425.0,-3575.0
A. Amade,20,171,63,79.0,33.0,44.0,65.0,59.0,48.0,750000,746400.0,-3600.0
J. Hope,18,178,75,64.0,31.0,38.0,48.0,47.0,52.0,70000,66400.0,-3600.0
M. Bodzioch,30,190,85,54.0,42.0,50.0,48.0,59.0,72.0,250000,246375.0,-3625.0
C. MacDonald,22,180,65,71.0,32.0,46.0,56.0,60.0,58.0,450000,446375.0,-3625.0
M. Smith,23,180,76,60.0,52.0,49.0,52.0,27.0,50.0,90000,86375.0,-3625.0
A. Roczen,20,193,82,64.0,57.0,44.0,54.0,35.0,65.0,250000,246375.0,-3625.0
G. Bucci,17,182,74,67.0,25.0,31.0,38.0,51.0,61.0,90000,86375.0,-3625.0
F. Yıldırım,24,175,67,58.0,45.0,58.0,58.0,43.0,54.0,170000,166350.0,-3650.0
Kim So Woong,21,180,65,67.0,55.0,34.0,54.0,21.0,54.0,140000,136350.0,-3650.0
F. Ilie,28,188,83,60.0,25.0,39.0,38.0,62.0,72.0,350000,346325.0,-3675.0
A. Dandea,32,189,81,38.0,44.0,50.0,45.0,62.0,76.0,300000,296300.0,-3700.0
D. Sarmiento,17,167,60,73.0,60.0,54.0,68.0,35.0,37.0,500000,496300.0,-3700.0
K. Chiba,35,183,77,41.0,36.0,50.0,50.0,60.0,66.0,90000,86300.0,-3700.0
K. Dewsbury-Hall,21,177,70,57.0,59.0,60.0,63.0,58.0,64.0,525000,521275.0,-3725.0
M. Sitek,19,174,66,74.0,47.0,55.0,59.0,24.0,43.0,275000,271275.0,-3725.0
G. Teigl,29,183,78,84.0,55.0,59.0,66.0,61.0,69.0,750000,746250.0,-3750.0
M. Svensson,22,165,68,81.0,59.0,60.0,70.0,31.0,48.0,1000000,996250.0,-3750.0
M. Watson,24,186,82,51.0,22.0,38.0,34.0,58.0,66.0,190000,186250.0,-3750.0
Ha Chang Rae,25,188,82,53.0,25.0,41.0,47.0,66.0,73.0,775000,771250.0,-3750.0
D. Maeda,22,173,68,87.0,60.0,59.0,69.0,38.0,62.0,1100000,1096250.0,-3750.0
Min Kyung Hyun,22,189,77,61.0,33.0,37.0,38.0,53.0,63.0,120000,116250.0,-3750.0
N. Lemoine,20,173,64,70.0,50.0,48.0,56.0,26.0,37.0,150000,146250.0,-3750.0
D. Pérez,21,170,69,65.0,26.0,34.0,54.0,56.0,57.0,160000,156225.0,-3775.0
H. Brockbank,21,180,73,67.0,25.0,43.0,58.0,60.0,66.0,400000,396225.0,-3775.0
H. Rashidi,25,175,69,75.0,57.0,59.0,64.0,59.0,61.0,525000,521225.0,-3775.0
H. Fernández,22,172,71,71.0,54.0,58.0,60.0,43.0,53.0,325000,321225.0,-3775.0
W. Pacho,18,186,81,60.0,32.0,44.0,52.0,47.0,64.0,100000,96175.0,-3825.0
A. Bani,17,174,70,75.0,51.0,51.0,63.0,22.0,40.0,300000,296150.0,-3850.0
Kim Woo Suk,23,187,74,41.0,25.0,37.0,39.0,54.0,65.0,130000,126150.0,-3850.0
J. Davidson,29,180,72,68.0,50.0,60.0,66.0,60.0,65.0,525000,521125.0,-3875.0
P. Oniangué,31,190,78,61.0,68.0,64.0,66.0,69.0,83.0,1800000,1796125.0,-3875.0
A. Barylla,23,180,84,69.0,39.0,54.0,60.0,62.0,70.0,625000,621125.0,-3875.0
E. Wiemberg,26,178,75,64.0,36.0,52.0,57.0,58.0,51.0,275000,271125.0,-3875.0
N. Fujita,33,175,72,54.0,59.0,68.0,69.0,64.0,69.0,875000,871125.0,-3875.0
D. Pecile,18,182,72,62.0,53.0,58.0,52.0,49.0,55.0,140000,136125.0,-3875.0
D. Mikołajewski,20,188,83,63.0,35.0,47.0,51.0,57.0,69.0,275000,271100.0,-3900.0
A. Bifulco,23,173,63,67.0,51.0,63.0,65.0,38.0,45.0,450000,446050.0,-3950.0
M. Schimpelsberger,29,181,73,73.0,47.0,55.0,61.0,60.0,67.0,375000,371050.0,-3950.0
A. Sánchez,23,168,70,77.0,35.0,55.0,57.0,55.0,59.0,325000,321050.0,-3950.0
E. Francis,20,182,76,60.0,30.0,47.0,45.0,57.0,61.0,210000,206050.0,-3950.0
M. Dembélé,21,186,78,51.0,33.0,41.0,52.0,57.0,65.0,200000,196025.0,-3975.0
M. O'Neill,18,187,81,69.0,51.0,47.0,54.0,19.0,43.0,120000,116025.0,-3975.0
A. Fuchs,23,184,76,60.0,50.0,63.0,67.0,56.0,67.0,750000,746000.0,-4000.0
R. Christie,25,178,71,80.0,73.0,72.0,77.0,62.0,74.0,8500000,8496000.0,-4000.0
M. Kennedy,25,175,65,83.0,59.0,60.0,70.0,47.0,63.0,950000,946000.0,-4000.0
U. Meraş,24,178,73,72.0,42.0,60.0,65.0,65.0,70.0,1200000,1196000.0,-4000.0
Sim Sang Min,27,172,70,72.0,47.0,59.0,67.0,60.0,70.0,650000,646000.0,-4000.0
C. McCormack,30,176,67,57.0,54.0,58.0,56.0,58.0,63.0,210000,205975.0,-4025.0
D. Wilmering,19,178,70,68.0,30.0,51.0,54.0,54.0,57.0,210000,205975.0,-4025.0
J. Hickman,21,173,67,68.0,40.0,47.0,52.0,48.0,56.0,110000,105950.0,-4050.0
C. Dorda,31,182,80,66.0,35.0,58.0,61.0,64.0,70.0,475000,470950.0,-4050.0
E. Segberg,23,183,79,60.0,49.0,61.0,63.0,55.0,68.0,450000,445925.0,-4075.0
