short_name,age,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic,value_eur
Kike Pérez,23,184,80,57.0,52.0,65.0,65.0,59.0,59.0,900000
F. Román,24,183,80,71.0,33.0,55.0,58.0,62.0,70.0,800000
Erik Expósito,24,190,83,64.0,64.0,47.0,63.0,29.0,63.0,925000
Olabe,24,178,70,60.0,57.0,68.0,69.0,54.0,60.0,900000
A. Erlingmark,22,189,80,63.0,55.0,57.0,59.0,66.0,74.0,825000
Z. Flemming,21,183,84,68.0,62.0,60.0,67.0,54.0,75.0,925000
T. Hadebe,24,180,84,71.0,29.0,36.0,39.0,69.0,71.0,825000
D. Rasak,24,184,77,70.0,50.0,58.0,63.0,63.0,76.0,825000
Leonardo Rocha,22,200,92,62.0,67.0,46.0,62.0,21.0,65.0,925000
Jorge Fernandes,23,191,91,40.0,34.0,42.0,48.0,66.0,73.0,825000
J. López Pissano,23,180,68,71.0,47.0,63.0,71.0,41.0,60.0,900000
D. Kyereh,24,179,73,81.0,64.0,49.0,73.0,22.0,62.0,925000
Y. Magnin,23,183,71,71.0,50.0,59.0,69.0,64.0,54.0,825000
Juan Ibiza,24,187,78,60.0,34.0,46.0,50.0,67.0,63.0,825000
M. Gueye,22,195,90,48.0,70.0,50.0,58.0,29.0,72.0,925000
Ezequiel,22,167,65,82.0,55.0,57.0,72.0,27.0,54.0,900000
T. Watanabe,23,186,78,61.0,29.0,46.0,41.0,66.0,72.0,825000
R. Ashurmatov,23,185,74,72.0,43.0,54.0,60.0,65.0,73.0,825000
A. Cruz,24,165,66,72.0,64.0,62.0,71.0,64.0,67.0,900000
P. Iacob,24,185,80,67.0,49.0,58.0,63.0,66.0,69.0,825000
Kirian,24,180,75,66.0,57.0,65.0,69.0,54.0,65.0,900000
S. Agouzoul,22,191,75,55.0,38.0,53.0,51.0,67.0,64.0,825000
T. Štrkalj,23,184,75,57.0,68.0,46.0,63.0,20.0,57.0,925000
A. Ueda,21,182,76,80.0,64.0,51.0,62.0,27.0,69.0,925000
H. Loucif,23,175,68,67.0,39.0,54.0,68.0,63.0,50.0,800000
L. Segovia,22,182,72,68.0,39.0,54.0,52.0,65.0,73.0,825000
E. Fereira,19,169,63,75.0,39.0,54.0,54.0,58.0,49.0,775000
D. Petrovič,22,179,75,69.0,53.0,67.0,66.0,57.0,68.0,900000
Pedro Henrique,23,190,80,54.0,67.0,44.0,62.0,39.0,71.0,925000
O. Nwobodo,23,180,72,81.0,63.0,62.0,70.0,52.0,66.0,900000
E. Rakip,24,178,71,69.0,58.0,64.0,71.0,53.0,73.0,875000
V. Černý,22,182,65,83.0,58.0,57.0,73.0,27.0,47.0,875000
M. Harness,24,182,70,84.0,62.0,59.0,68.0,28.0,50.0,875000
E. Smith,23,192,86,63.0,56.0,61.0,62.0,59.0,75.0,800000
K. Veendorp,23,183,77,65.0,49.0,57.0,55.0,65.0,72.0,800000
H. Matynia,24,182,73,80.0,45.0,52.0,59.0,61.0,64.0,775000
M. Curado,25,187,80,57.0,36.0,41.0,39.0,66.0,73.0,775000
K. Vincent-Young,24,180,70,87.0,55.0,56.0,65.0,61.0,69.0,775000
T. Tekie,23,175,65,66.0,53.0,68.0,74.0,48.0,50.0,875000
Matheus Sávio,23,175,74,68.0,70.0,67.0,72.0,59.0,61.0,875000
T. Deng,23,182,73,76.0,43.0,48.0,54.0,66.0,70.0,800000
J. Mulraney,24,172,64,88.0,57.0,59.0,69.0,52.0,45.0,875000
D. Gnaase,23,179,77,76.0,53.0,61.0,65.0,60.0,73.0,800000
J. Piotrowski,22,188,80,65.0,62.0,66.0,69.0,63.0,69.0,875000
C. Johnson,23,180,71,71.0,46.0,59.0,63.0,60.0,71.0,775000
E. Rolón,25,175,70,65.0,53.0,62.0,63.0,64.0,64.0,800000
L. Vignali,24,186,75,70.0,57.0,63.0,64.0,63.0,63.0,775000
Y. Nakayama,23,181,76,76.0,43.0,59.0,65.0,65.0,71.0,800000
J. Augustinsson,24,185,81,78.0,49.0,62.0,63.0,59.0,72.0,775000
Isi Ros,24,165,53,82.0,55.0,60.0,72.0,34.0,36.0,875000
N. Jambor,24,188,84,65.0,52.0,65.0,67.0,63.0,69.0,875000
S. Balaure,24,178,62,75.0,55.0,61.0,67.0,44.0,59.0,875000
O. Rathbone,23,176,76,75.0,56.0,61.0,67.0,58.0,67.0,875000
D. Bates,23,190,83,59.0,24.0,41.0,42.0,66.0,70.0,800000
Ha Chang Rae,25,188,82,53.0,25.0,41.0,47.0,66.0,73.0,775000
F. Escobar,25,184,74,77.0,40.0,40.0,45.0,66.0,78.0,775000
Anderson Emanuel,24,175,67,84.0,59.0,58.0,67.0,27.0,68.0,875000
B. White,24,178,77,76.0,65.0,53.0,67.0,49.0,69.0,900000
L. Menalo,23,181,73,77.0,60.0,57.0,71.0,26.0,51.0,875000
G. Whyte,24,176,67,78.0,57.0,58.0,68.0,35.0,43.0,875000
Cristian,24,180,70,69.0,56.0,65.0,66.0,56.0,64.0,875000
L. Prip,23,182,70,76.0,59.0,63.0,67.0,42.0,64.0,875000
H. Araki,23,186,75,55.0,27.0,42.0,51.0,66.0,71.0,800000
M. Căpățînă,24,183,76,68.0,62.0,64.0,67.0,31.0,64.0,875000
S. Köhler,23,185,72,55.0,53.0,60.0,64.0,63.0,68.0,800000
Y. Ben Balla,24,181,72,68.0,51.0,54.0,62.0,65.0,68.0,800000
M. Velisar,21,178,77,71.0,50.0,59.0,58.0,61.0,65.0,800000
Luiz Henrique,23,171,64,70.0,54.0,63.0,72.0,39.0,51.0,875000
M. Biteghé,23,181,75,69.0,49.0,64.0,67.0,63.0,69.0,875000
P. Mendy,24,186,75,76.0,40.0,56.0,61.0,60.0,69.0,775000
F. Kidd,22,177,70,76.0,39.0,59.0,54.0,61.0,71.0,775000
J. Sekidika,23,174,68,88.0,61.0,60.0,67.0,29.0,50.0,875000
Vitor Carvalho,23,183,74,66.0,57.0,58.0,66.0,64.0,65.0,800000
Y. Matsuo,22,170,65,74.0,61.0,62.0,70.0,59.0,63.0,875000
M. Grüll,21,184,74,66.0,65.0,66.0,64.0,25.0,61.0,900000
Y. Jarju,23,182,66,73.0,68.0,54.0,64.0,21.0,59.0,900000
E. Peretz,23,189,75,70.0,65.0,68.0,64.0,51.0,59.0,875000
Y. Cheberko,22,177,66,68.0,31.0,53.0,56.0,69.0,63.0,800000
Pep Chavarría,22,174,70,77.0,39.0,51.0,59.0,63.0,67.0,775000
H. Stengel,24,180,74,58.0,60.0,66.0,67.0,57.0,73.0,850000
J. Moore-Taylor,26,178,83,66.0,36.0,58.0,56.0,64.0,78.0,750000
M. Hallberg,24,180,68,66.0,60.0,65.0,65.0,61.0,69.0,775000
Etxeberría,25,178,72,72.0,29.0,60.0,65.0,61.0,71.0,750000
C. Camps,24,180,75,72.0,66.0,65.0,67.0,57.0,66.0,850000
B. Chardonnet,25,181,74,60.0,35.0,48.0,53.0,67.0,69.0,775000
L. Shankland,24,185,80,72.0,65.0,56.0,66.0,27.0,72.0,875000
C. Long,25,180,77,77.0,66.0,51.0,65.0,27.0,63.0,875000
J. Laurent,25,188,75,75.0,60.0,63.0,67.0,61.0,74.0,850000
M. Cacutalua,25,188,81,72.0,41.0,47.0,48.0,68.0,71.0,775000
V. Sulejmani,24,185,84,71.0,67.0,56.0,66.0,39.0,68.0,875000
B. Tuiloma,25,178,79,56.0,44.0,61.0,58.0,66.0,72.0,775000
Pará,24,167,70,75.0,58.0,57.0,70.0,58.0,71.0,750000
J. Hesketh,24,168,63,65.0,53.0,67.0,71.0,40.0,44.0,850000
F. Palacios Martínez,25,170,69,68.0,63.0,57.0,76.0,31.0,44.0,850000
V. Wernersson,24,180,70,70.0,45.0,59.0,65.0,62.0,67.0,750000
T. Ebuehi,24,187,72,87.0,40.0,52.0,64.0,63.0,59.0,750000
I. Poblete,25,171,65,69.0,61.0,65.0,70.0,35.0,64.0,850000
S. D'Almeida,24,178,71,77.0,55.0,59.0,66.0,66.0,83.0,850000
C. Bedia,24,190,74,75.0,64.0,49.0,66.0,33.0,71.0,875000
I. Colman,25,173,68,68.0,58.0,63.0,67.0,51.0,61.0,850000
B. Çamoğlu,23,173,67,80.0,35.0,59.0,70.0,54.0,55.0,850000
S. Mallan,24,178,69,67.0,66.0,68.0,67.0,57.0,66.0,850000
B. Barry,24,182,73,78.0,53.0,60.0,70.0,44.0,56.0,850000
M. Quiñones,24,173,70,76.0,39.0,51.0,59.0,63.0,66.0,750000
S. Tabekou,23,180,74,86.0,65.0,56.0,66.0,34.0,71.0,850000
P. Joosten,24,177,72,82.0,69.0,63.0,70.0,35.0,59.0,875000
B. van den Boomen,24,190,83,65.0,65.0,69.0,63.0,61.0,73.0,850000
D. Niepsuj,24,183,76,75.0,45.0,55.0,60.0,62.0,69.0,750000
Kim Gun Hee,25,186,79,73.0,66.0,52.0,63.0,35.0,72.0,875000
B. Hines-Ike,25,185,77,61.0,53.0,52.0,56.0,66.0,70.0,775000
R. Krauße,26,179,75,69.0,36.0,52.0,57.0,65.0,80.0,775000
T. Nishimura,23,178,76,76.0,66.0,58.0,64.0,33.0,69.0,875000
S. Nakatani,24,184,79,72.0,24.0,39.0,45.0,66.0,73.0,775000
K. Koizumi,25,173,70,78.0,48.0,59.0,57.0,63.0,71.0,775000
K. Yoshino,25,182,75,64.0,23.0,40.0,47.0,66.0,69.0,775000
A. Ioniță,25,175,77,74.0,61.0,62.0,73.0,44.0,62.0,850000
M. D'Arpino,24,175,70,67.0,56.0,68.0,69.0,60.0,65.0,775000
M. Kleinsorge,24,170,69,82.0,59.0,57.0,70.0,28.0,55.0,850000
L. Angulo,24,185,78,67.0,62.0,59.0,66.0,58.0,76.0,850000
Luan,24,186,68,53.0,25.0,40.0,43.0,67.0,67.0,775000
N. Estévez,24,181,75,69.0,64.0,67.0,67.0,63.0,66.0,850000
J. Shonga,23,179,64,70.0,65.0,61.0,70.0,31.0,52.0,875000
B. Bye,24,183,79,77.0,57.0,56.0,61.0,60.0,70.0,750000
A. Björnström,24,176,65,79.0,45.0,59.0,60.0,61.0,61.0,750000
D. Bizimana,23,180,77,61.0,63.0,65.0,64.0,64.0,69.0,775000
Allan Sousa,23,172,64,82.0,60.0,60.0,72.0,23.0,57.0,850000
A. Mendy,25,180,75,75.0,34.0,58.0,60.0,61.0,67.0,750000
C. Kühlwetter,24,180,79,71.0,65.0,55.0,66.0,33.0,71.0,875000
X. Arreaga,25,183,75,52.0,24.0,37.0,31.0,69.0,71.0,775000
W. Clar,25,177,73,67.0,32.0,47.0,65.0,64.0,70.0,750000
Paulinho,25,178,71,85.0,60.0,60.0,66.0,59.0,63.0,750000
Reko,24,180,73,58.0,44.0,62.0,60.0,64.0,62.0,775000
G. Cortéz,22,178,75,67.0,40.0,54.0,56.0,63.0,67.0,750000
C. Cuero,24,183,79,82.0,41.0,56.0,51.0,60.0,78.0,750000
M. Pardo,24,172,67,77.0,58.0,63.0,69.0,24.0,51.0,850000
J. Martínez,25,176,69,71.0,43.0,58.0,62.0,65.0,64.0,775000
J. Rivas,21,177,79,63.0,65.0,50.0,60.0,30.0,65.0,875000
G. Giorbelidze,24,174,70,71.0,48.0,55.0,60.0,64.0,65.0,750000
K. Qaka,25,170,73,66.0,58.0,67.0,72.0,56.0,65.0,825000
K. Escamilla,26,179,76,53.0,55.0,63.0,53.0,59.0,74.0,750000
L. Polworth,25,179,72,71.0,60.0,66.0,68.0,59.0,64.0,825000
J. Willis,25,180,70,77.0,25.0,48.0,59.0,65.0,72.0,750000
F. Lohkemper,25,179,76,82.0,62.0,54.0,69.0,29.0,61.0,850000
S. Kaikai,24,182,70,80.0,64.0,64.0,71.0,28.0,49.0,850000
S. McQueen,25,181,70,67.0,48.0,61.0,69.0,64.0,62.0,725000
J. van Aken,26,193,75,63.0,34.0,56.0,60.0,65.0,65.0,725000
Janio Bikel,25,174,63,75.0,44.0,56.0,69.0,61.0,69.0,750000
Hwang Hyun Soo,24,183,80,69.0,44.0,34.0,39.0,66.0,73.0,750000
M. Devlin,26,188,79,34.0,28.0,35.0,40.0,66.0,79.0,725000
J. Jach,26,189,78,58.0,45.0,51.0,56.0,64.0,74.0,725000
L. Jäger,26,184,76,56.0,43.0,54.0,56.0,67.0,72.0,750000
M. Ritter,25,173,72,69.0,63.0,62.0,72.0,22.0,58.0,825000
D. Louiserre,25,172,63,54.0,63.0,68.0,67.0,61.0,62.0,750000
J. Hendry,25,192,76,69.0,34.0,52.0,61.0,65.0,73.0,750000
M. Frey,24,180,78,63.0,48.0,62.0,66.0,66.0,70.0,825000
N. Antonov,25,182,75,75.0,47.0,59.0,67.0,61.0,68.0,725000
R. Zambrano,25,170,68,73.0,56.0,68.0,70.0,60.0,67.0,750000
T. Iwanami,26,186,72,66.0,24.0,53.0,46.0,65.0,70.0,725000
Y. Matsushita,26,174,67,75.0,55.0,64.0,64.0,62.0,63.0,750000
Yeon Je Woon,25,185,78,68.0,32.0,51.0,50.0,65.0,75.0,750000
L. Faye,22,170,79,71.0,35.0,50.0,61.0,63.0,73.0,750000
A. Ordóñez,26,186,79,68.0,34.0,38.0,48.0,66.0,70.0,725000
S. Kaba,25,191,80,66.0,65.0,54.0,64.0,37.0,74.0,850000
Y. Koide,25,180,76,49.0,19.0,42.0,40.0,67.0,68.0,750000
S. Sow,23,182,74,78.0,62.0,57.0,67.0,27.0,67.0,850000
I. Alhassan,23,192,76,65.0,50.0,61.0,66.0,62.0,74.0,750000
N. Lozano,26,185,77,68.0,42.0,47.0,55.0,63.0,80.0,725000
M. Fischer,24,179,72,70.0,62.0,66.0,68.0,43.0,65.0,850000
S. Haudum,25,189,74,59.0,51.0,58.0,59.0,63.0,70.0,750000
D. Abels,23,179,77,61.0,40.0,51.0,59.0,64.0,68.0,750000
Sergio Ruiz,25,171,70,63.0,58.0,61.0,65.0,60.0,65.0,750000
Maracás,26,184,78,68.0,30.0,44.0,51.0,68.0,66.0,725000
L. Ried,24,178,67,73.0,55.0,64.0,64.0,45.0,56.0,850000
B. Nimaga,25,189,81,66.0,45.0,58.0,61.0,64.0,74.0,750000
A. Cougo,24,180,73,87.0,51.0,62.0,64.0,56.0,71.0,750000
L. Suhr,22,175,81,77.0,61.0,60.0,67.0,38.0,69.0,850000
C. Neyra,25,170,61,67.0,46.0,53.0,66.0,65.0,73.0,725000
R. Kharchouch,24,187,75,68.0,67.0,50.0,61.0,24.0,65.0,850000
J. Forster-Caskey,26,178,64,70.0,61.0,64.0,67.0,61.0,65.0,775000
C. Edwards,26,180,70,54.0,65.0,67.0,66.0,58.0,63.0,775000
T. Grøgaard,26,180,73,75.0,45.0,61.0,65.0,61.0,68.0,700000
I. Touray,25,177,68,84.0,50.0,60.0,63.0,58.0,71.0,700000
J. Naismith,26,188,83,75.0,47.0,59.0,61.0,61.0,77.0,700000
O. Bulut,26,179,69,74.0,54.0,64.0,65.0,59.0,70.0,700000
L. Vigen,25,180,80,73.0,59.0,65.0,67.0,59.0,66.0,800000
A. Uryga,26,191,85,52.0,43.0,54.0,44.0,63.0,77.0,725000
T. Watt,26,182,76,73.0,67.0,48.0,68.0,25.0,72.0,825000
D. Wright,25,175,69,76.0,57.0,59.0,71.0,51.0,68.0,800000
B. Finne,25,173,70,77.0,64.0,56.0,70.0,23.0,63.0,800000
K. Triantafyllopoulos,27,185,80,64.0,27.0,50.0,49.0,63.0,80.0,700000
B. Edomwonyi,25,186,78,85.0,62.0,52.0,67.0,29.0,71.0,825000
E. Lee,25,180,72,72.0,64.0,63.0,67.0,41.0,62.0,800000
G. Zhukov,25,172,76,73.0,57.0,66.0,71.0,51.0,69.0,800000
M. Al Olayan,25,170,66,69.0,46.0,61.0,64.0,61.0,71.0,700000
S. Al Shehri,26,182,77,63.0,66.0,45.0,62.0,23.0,70.0,825000
L. Bertone,26,179,74,65.0,64.0,65.0,63.0,62.0,68.0,725000
P. Konate,26,175,72,71.0,40.0,59.0,63.0,62.0,60.0,700000
M. Uhre,25,188,86,87.0,63.0,47.0,65.0,33.0,72.0,825000
A. Madu,26,186,86,41.0,26.0,42.0,39.0,65.0,77.0,725000
R. Ureña,27,178,71,62.0,51.0,57.0,64.0,64.0,72.0,700000
G. Iñiguez,26,172,77,66.0,53.0,64.0,68.0,62.0,71.0,775000
T. Lumanza Lembi,26,178,70,69.0,55.0,64.0,69.0,62.0,72.0,775000
D. Islamović,26,190,87,62.0,69.0,57.0,62.0,29.0,72.0,825000
G. Honeyman,25,170,72,72.0,61.0,64.0,71.0,61.0,66.0,800000
P. Bijen,25,189,87,52.0,39.0,48.0,58.0,65.0,74.0,725000
R. Hedges,24,185,70,76.0,60.0,61.0,68.0,39.0,58.0,825000
J. Grant,25,178,72,68.0,62.0,66.0,68.0,48.0,66.0,800000
S. Chakla,26,186,77,53.0,32.0,48.0,49.0,65.0,68.0,725000
João Afonso,25,181,81,63.0,45.0,56.0,62.0,64.0,74.0,725000
L. Kelly,24,163,74,66.0,62.0,69.0,68.0,56.0,42.0,800000
M. Hairston,26,183,71,76.0,58.0,58.0,65.0,59.0,64.0,700000
T. Rieder,26,186,77,62.0,33.0,51.0,52.0,67.0,73.0,725000
R. Gall,25,175,63,82.0,64.0,59.0,70.0,39.0,46.0,800000
Grego Sierra,27,186,81,56.0,50.0,52.0,55.0,67.0,65.0,700000
B. Gueye,25,192,84,64.0,64.0,42.0,62.0,21.0,72.0,825000
M. Burgess,25,185,70,77.0,60.0,62.0,68.0,39.0,66.0,800000
Lee Yeong Jae,25,174,60,74.0,59.0,62.0,67.0,55.0,54.0,800000
R. Civelek,24,172,65,77.0,56.0,60.0,68.0,30.0,56.0,825000
A. Bardakcı,25,190,80,52.0,32.0,47.0,53.0,66.0,73.0,725000
Romário Baldé,23,177,75,77.0,64.0,55.0,72.0,31.0,68.0,825000
J. Vásquez,25,176,78,79.0,64.0,60.0,68.0,23.0,71.0,800000
Adri Castellano,26,180,73,61.0,35.0,57.0,65.0,66.0,66.0,725000
M. Sanoh,24,170,62,82.0,64.0,60.0,67.0,38.0,72.0,825000
R. Maeda,26,173,68,67.0,50.0,61.0,62.0,57.0,70.0,775000
P. Brlek,26,180,74,64.0,63.0,65.0,66.0,53.0,66.0,775000
M. Villanueva,27,192,77,54.0,39.0,54.0,49.0,63.0,78.0,700000
E. Moore,23,197,92,48.0,31.0,45.0,45.0,65.0,76.0,725000
J. Aja,27,193,84,59.0,37.0,40.0,46.0,64.0,77.0,700000
C. Colmán,26,185,79,72.0,65.0,45.0,66.0,26.0,65.0,825000
J. Lorch,24,188,79,65.0,46.0,58.0,60.0,65.0,75.0,750000
A. Zreľák,26,183,82,67.0,66.0,43.0,62.0,30.0,75.0,825000
G. Giakoumakis,25,186,86,68.0,66.0,43.0,62.0,28.0,75.0,825000
R. Taylor,25,183,80,78.0,64.0,62.0,67.0,52.0,71.0,800000
W. Riveros,27,179,76,59.0,33.0,44.0,45.0,66.0,69.0,700000
M. Ortíz,25,162,64,75.0,56.0,67.0,70.0,44.0,43.0,800000
C. Akas,26,188,90,66.0,40.0,52.0,63.0,62.0,78.0,700000
F. Rieder,24,174,69,73.0,51.0,64.0,67.0,56.0,66.0,825000
A. Traoré,25,177,74,86.0,60.0,55.0,68.0,17.0,58.0,800000
S. Lawson,25,179,77,75.0,50.0,61.0,67.0,63.0,70.0,725000
S. Bjørshol,26,184,72,76.0,27.0,55.0,61.0,60.0,71.0,700000
Robinho,25,166,67,84.0,55.0,59.0,72.0,36.0,52.0,800000
D. Crnomarković,26,188,77,69.0,27.0,42.0,43.0,65.0,72.0,725000
Alex Suárez,27,179,74,70.0,36.0,52.0,50.0,66.0,65.0,700000
M. Gottschling,26,183,72,79.0,57.0,58.0,66.0,58.0,69.0,700000
A. Abdi,26,183,73,81.0,41.0,58.0,64.0,58.0,68.0,700000
R. Abascal,26,187,87,65.0,44.0,49.0,54.0,64.0,79.0,725000
J. Corozo,24,175,64,78.0,47.0,59.0,68.0,53.0,71.0,825000
C. Melgar,26,170,69,71.0,63.0,65.0,70.0,52.0,60.0,800000
L. Flores,24,176,69,69.0,53.0,61.0,67.0,34.0,58.0,825000
A. Albu,26,188,70,58.0,39.0,48.0,51.0,64.0,77.0,725000
J. Candia,25,177,73,71.0,65.0,56.0,66.0,36.0,65.0,825000
M. Ziegl,27,182,78,70.0,52.0,61.0,64.0,64.0,73.0,675000
J. Cousins,26,177,72,74.0,55.0,58.0,66.0,61.0,72.0,700000
D. Potts,26,172,70,67.0,39.0,57.0,63.0,65.0,67.0,675000
A. Pierre,27,185,88,70.0,37.0,46.0,50.0,65.0,79.0,675000
A. Oshilaja,27,181,75,81.0,26.0,45.0,57.0,65.0,79.0,675000
W. Golla,28,186,80,52.0,36.0,54.0,50.0,64.0,71.0,650000
J. Husband,26,179,65,67.0,50.0,56.0,64.0,64.0,67.0,675000
P. Boumal,27,175,75,64.0,47.0,62.0,66.0,62.0,65.0,675000
M. Schmerböck,26,180,73,76.0,65.0,60.0,68.0,34.0,62.0,800000
A. Kamara,26,180,73,77.0,64.0,47.0,64.0,25.0,80.0,800000
M. Heylen,26,187,82,49.0,37.0,55.0,46.0,66.0,72.0,700000
P. Cibicki,26,182,66,79.0,64.0,64.0,69.0,30.0,63.0,800000
L. Cabrera,26,168,70,58.0,59.0,60.0,69.0,63.0,67.0,775000
X. Schenk,27,188,88,58.0,45.0,60.0,58.0,64.0,77.0,675000
K. Jackson,26,181,73,91.0,64.0,47.0,63.0,30.0,57.0,800000
M. Stefaniak,25,178,76,75.0,62.0,62.0,69.0,29.0,58.0,775000
F. Menig,26,187,79,63.0,35.0,48.0,54.0,66.0,73.0,675000
Wang Shangyuan,27,185,70,72.0,60.0,61.0,68.0,64.0,80.0,675000
M. Schultz,27,194,89,51.0,26.0,42.0,51.0,66.0,74.0,675000
A. Tahiri,25,179,61,76.0,56.0,66.0,72.0,35.0,45.0,775000
N. Sandberg,25,183,73,71.0,62.0,65.0,67.0,51.0,63.0,775000
G. Ward,25,178,73,72.0,60.0,64.0,66.0,55.0,60.0,775000
Yu Rui,27,185,76,61.0,39.0,51.0,52.0,65.0,74.0,675000
N. Besler,27,185,75,62.0,41.0,58.0,60.0,64.0,71.0,675000
C. Dieng,26,180,66,88.0,64.0,60.0,68.0,30.0,50.0,800000
F. Kalig,27,181,78,62.0,42.0,51.0,56.0,66.0,67.0,675000
D. Romney,27,188,79,59.0,32.0,57.0,60.0,65.0,72.0,675000
Ko Seung Beom,26,174,70,69.0,61.0,62.0,65.0,58.0,74.0,700000
P. Kurzweg,26,180,80,83.0,47.0,63.0,64.0,57.0,71.0,675000
D. Wiebe,26,187,73,55.0,41.0,56.0,57.0,65.0,70.0,700000
P. Mako,26,163,59,74.0,38.0,50.0,64.0,66.0,61.0,675000
A. De Bruyn,26,178,69,73.0,67.0,62.0,73.0,31.0,56.0,775000
Cadete,26,186,80,69.0,38.0,63.0,62.0,62.0,68.0,675000
L. Kambole,26,186,80,73.0,68.0,49.0,65.0,24.0,64.0,800000
A. Atouchi,28,186,78,59.0,37.0,38.0,38.0,69.0,69.0,650000
J. Toledo,24,183,80,66.0,36.0,52.0,52.0,66.0,72.0,700000
K. Sento,25,170,62,67.0,63.0,66.0,67.0,47.0,49.0,775000
D. Gissi,29,189,82,36.0,47.0,58.0,55.0,63.0,78.0,600000
C. Aasbak,26,187,81,65.0,52.0,63.0,61.0,62.0,76.0,650000
F. Jensen,27,185,73,55.0,50.0,64.0,60.0,63.0,68.0,650000
M. Amini,27,173,71,63.0,59.0,62.0,69.0,56.0,70.0,725000
R. Mulumba,27,178,70,58.0,60.0,67.0,63.0,63.0,71.0,725000
M. Power,26,181,77,57.0,65.0,67.0,64.0,63.0,73.0,750000
M. Abu,28,170,68,69.0,54.0,62.0,66.0,61.0,67.0,650000
G. Moncur,26,176,63,66.0,62.0,67.0,68.0,46.0,60.0,750000
P. McEleney,27,180,84,78.0,60.0,64.0,68.0,55.0,64.0,750000
N. Dussenne,28,192,86,32.0,34.0,48.0,44.0,68.0,69.0,625000
M. Harriman,27,167,74,78.0,53.0,58.0,64.0,61.0,69.0,650000
T. Pietermaat,27,174,68,67.0,31.0,57.0,56.0,65.0,69.0,650000
N. Devlin,26,183,73,88.0,52.0,55.0,61.0,59.0,78.0,650000
R. Wolski,27,180,70,66.0,62.0,68.0,69.0,34.0,53.0,750000
D. Rubio,27,180,77,65.0,72.0,57.0,70.0,36.0,66.0,750000
N. Röseler,28,190,80,55.0,35.0,53.0,55.0,66.0,72.0,625000
Sérgio Marakis,28,178,78,63.0,49.0,55.0,62.0,65.0,76.0,650000
B. Tashchy,26,192,90,67.0,63.0,60.0,64.0,35.0,73.0,775000
T. Boere,27,183,80,68.0,68.0,52.0,60.0,31.0,74.0,750000
K. Pusch,27,181,76,67.0,64.0,65.0,66.0,55.0,66.0,750000
T. Schröck,27,188,84,67.0,63.0,58.0,59.0,65.0,77.0,650000
S. Ohlsson,27,181,77,66.0,62.0,62.0,66.0,63.0,68.0,650000
Kwon Kyung Won,28,188,81,54.0,37.0,58.0,59.0,63.0,77.0,625000
Y. Ono,27,170,69,72.0,59.0,63.0,69.0,40.0,64.0,750000
João Pedro,27,177,69,67.0,64.0,62.0,67.0,66.0,68.0,725000
D. Murillo,26,178,75,76.0,37.0,57.0,65.0,59.0,67.0,650000
B. Vides,27,178,76,72.0,60.0,54.0,68.0,39.0,70.0,750000
L. Melano,27,185,72,82.0,62.0,61.0,67.0,32.0,68.0,750000
G. Karlen,27,186,79,68.0,65.0,51.0,60.0,32.0,68.0,750000
Mario Barco,27,185,78,65.0,68.0,56.0,63.0,36.0,60.0,750000
Michael Pinto,27,176,70,67.0,34.0,59.0,68.0,63.0,67.0,650000
E. Boateng,26,168,68,90.0,59.0,59.0,67.0,41.0,58.0,750000
S. Mockenhaupt,28,187,84,78.0,28.0,41.0,49.0,65.0,75.0,625000
D. Mendoza,27,186,86,61.0,68.0,54.0,64.0,34.0,67.0,750000
S. Dursun,28,188,79,62.0,39.0,52.0,54.0,64.0,75.0,625000
J. Bajandouh,27,186,85,44.0,58.0,66.0,62.0,62.0,70.0,650000
A. Lundqvist,26,175,65,68.0,52.0,63.0,62.0,62.0,57.0,650000
Sim Sang Min,27,172,70,72.0,47.0,59.0,67.0,60.0,70.0,650000
Kim Yong Hwan,27,175,67,88.0,39.0,57.0,66.0,56.0,69.0,650000
E. Miller,27,183,79,75.0,37.0,53.0,59.0,62.0,68.0,650000
F. David,27,180,67,74.0,64.0,62.0,67.0,42.0,67.0,750000
Pablo Pérez,26,188,79,60.0,63.0,67.0,65.0,52.0,64.0,750000
J. Salas,26,183,73,64.0,55.0,65.0,65.0,58.0,71.0,750000
S. Bolbat,27,175,70,75.0,59.0,68.0,73.0,56.0,58.0,650000
I. Rivera,25,169,60,76.0,55.0,64.0,69.0,43.0,49.0,775000
A. Sjöberg,29,201,95,36.0,26.0,44.0,46.0,65.0,74.0,600000
C. Carrillo,27,179,65,62.0,63.0,61.0,62.0,63.0,68.0,650000
M. Poletanović,26,187,81,57.0,64.0,65.0,64.0,60.0,68.0,750000
D. Milinković,26,178,70,75.0,56.0,62.0,68.0,25.0,54.0,750000
A. Jakobsen,26,180,73,73.0,59.0,62.0,74.0,44.0,62.0,750000
L. Ospina,29,190,81,38.0,23.0,35.0,35.0,67.0,74.0,600000
D. Badji,27,183,79,77.0,62.0,47.0,66.0,38.0,74.0,750000
M. Ajani,26,188,86,88.0,58.0,59.0,63.0,53.0,74.0,750000
K. Redondo,25,180,69,83.0,60.0,57.0,68.0,44.0,56.0,775000
M. George,26,189,80,87.0,60.0,49.0,62.0,29.0,78.0,775000
Olaetxea,27,179,75,61.0,68.0,59.0,68.0,38.0,51.0,750000
